City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
196,Georgetown,MY,2022-06-15 12:29:12,5.4112,100.3354,84.13,86,40,3.44
197,Buala,SB,2022-06-15 12:32:35,-8.145,159.5921,80.22,83,100,10.11
198,Tabas,IR,2022-06-15 12:32:36,33.5959,56.9244,109.02,6,0,7.94
199,Padang,ID,2022-06-15 12:30:19,-0.9492,100.3543,75.25,85,100,3.51
200,Thatta,PK,2022-06-15 12:32:37,24.7475,67.9235,90.99,54,9,21.23
201,Deori,IN,2022-06-15 12:32:37,21.45,82.6167,94.37,38,100,3.0
202,Moindou,NC,2022-06-15 12:32:38,-21.6924,165.677,73.76,86,8,4.54
203,Manzhouli,CN,2022-06-15 12:29:37,49.6,117.4333,65.05,68,77,5.17
204,Kahului,US,2022-06-15 12:32:39,20.8947,-156.47,76.84,73,20,12.66
205,Chokurdakh,RU,2022-06-15 12:32:40,70.6333,147.9167,63.52,32,100,10.04
206,Vila,PT,2022-06-15 12:32:41,42.0304,-8.1588,70.68,29,100,1.83
207,Eregli,TR,2022-06-15 12:32:41,37.5133,34.0467,77.27,33,3,5.84
208,Pryluky,UA,2022-06-15 12:29:15,50.5932,32.3876,68.76,45,17,10.69
209,Novyye Burasy,RU,2022-06-15 12:32:42,52.1324,46.0714,77.41,49,36,12.03
210,Nantucket,US,2022-06-15 12:32:43,41.2835,-70.0995,66.99,77,0,16.11
211,Kirkland Lake,CA,2022-06-15 12:32:44,48.1446,-80.0377,61.09,88,100,6.46
212,Srednekolymsk,RU,2022-06-15 12:32:44,67.45,153.6833,60.64,41,14,5.03
213,Coihaique,CL,2022-06-15 12:32:45,-45.5752,-72.0662,37.35,93,75,6.91
214,Swan River,CA,2022-06-15 12:32:45,52.1058,-101.2676,51.69,82,11,5.75
215,Nacala,MZ,2022-06-15 12:32:46,-14.5428,40.6728,80.83,56,18,9.35
216,Gigmoto,PH,2022-06-15 12:32:46,13.7796,124.39,82.17,81,20,9.4
217,Calafell,ES,2022-06-15 12:32:47,41.2,1.5683,98.24,63,0,10.8
218,Serov,RU,2022-06-15 12:32:47,59.6033,60.5787,73.69,43,8,8.12
219,Pivijay,CO,2022-06-15 12:32:48,10.4617,-74.6162,79.29,80,50,6.69
220,Alofi,NU,2022-06-15 12:32:48,-19.0595,-169.9187,73.29,94,62,10.36
221,Mazagao,BR,2022-06-15 12:32:49,-0.115,-51.2894,84.25,80,98,5.79
222,Cabo San Lucas,MX,2022-06-15 12:32:49,22.8909,-109.9124,79.11,52,0,3.44
223,Matara,LK,2022-06-15 12:31:12,5.9485,80.5353,79.43,84,100,6.13
224,Lata,PT,2022-06-15 12:33:51,40.1629,-8.3327,86.49,50,100,4.0
225,Jamestown,US,2022-06-15 12:25:26,42.097,-79.2353,72.99,87,12,5.01
226,Talnakh,RU,2022-06-15 12:33:52,69.4865,88.3972,76.21,42,98,14.83
227,Beringovskiy,RU,2022-06-15 12:30:41,63.05,179.3167,38.59,88,13,4.99
228,Laguna,US,2022-06-15 12:33:53,38.421,-121.4238,66.33,63,0,5.75
229,Tougan,BF,2022-06-15 12:33:54,13.0667,-3.0667,98.87,29,100,9.24
230,Khasan,RU,2022-06-15 12:33:55,42.4308,130.6434,53.73,98,100,3.83
231,Kalmunai,LK,2022-06-15 12:33:55,7.4167,81.8167,82.58,77,100,11.05
232,Puerto Carreno,CO,2022-06-15 12:33:56,6.189,-67.4859,75.18,94,40,2.3
233,Tansen,NP,2022-06-15 12:33:57,27.8673,83.5467,79.74,48,95,5.35
234,Ancud,CL,2022-06-15 12:33:57,-41.8697,-73.8203,46.22,93,22,4.07
235,Cap Malheureux,MU,2022-06-15 12:33:58,-19.9842,57.6142,76.46,67,2,8.99
236,Santa Isabel Do Rio Negro,BR,2022-06-15 12:33:58,-0.4139,-65.0192,75.04,91,90,1.83
237,Tezu,IN,2022-06-15 12:33:59,27.9167,96.1667,72.48,99,100,3.04
238,Bereda,ES,2022-06-15 12:33:59,43.2686,-7.5406,94.53,22,33,1.59
239,Kampong Cham,KH,2022-06-15 12:31:21,11.9934,105.4635,82.62,75,100,4.72
240,Ust-Ordynskiy,RU,2022-06-15 12:34:00,52.805,104.7508,66.92,72,100,4.72
241,Sur,OM,2022-06-15 12:30:18,22.5667,59.5289,95.13,49,6,6.04
242,Rodrigues Alves,BR,2022-06-15 12:34:02,-7.738,-72.6509,62.8,64,41,0.63
243,Fougamou,GA,2022-06-15 12:34:02,-1.2154,10.5838,88.41,52,98,3.06
244,Hobyo,SO,2022-06-15 12:34:03,5.3505,48.5268,82.85,70,95,31.34
245,Thinadhoo,MV,2022-06-15 12:34:03,0.5333,72.9333,84.07,70,92,7.65
246,Vysokogornyy,RU,2022-06-15 12:34:04,50.1167,139.15,57.79,83,57,1.21
247,Sitka,US,2022-06-15 12:34:04,57.0531,-135.33,48.09,87,75,3.44
248,Fort Saint James,CA,2022-06-15 12:34:05,54.4333,-124.25,44.71,79,6,3.56
249,Mayo,US,2022-06-15 12:34:06,38.8876,-76.5119,79.18,82,0,3.44
250,Sao Filipe,CV,2022-06-15 12:34:06,14.8961,-24.4956,74.62,81,23,8.93
251,Danielskuil,ZA,2022-06-15 12:34:07,-28.1887,23.5395,48.36,41,1,12.21
252,Aklavik,CA,2022-06-15 12:34:08,68.2191,-135.0107,46.04,59,22,6.38
253,Atar,MR,2022-06-15 12:34:08,20.5169,-13.0499,103.51,21,6,6.06
254,Ballina,AU,2022-06-15 12:34:09,-28.8667,153.5667,58.01,99,0,6.51
255,Isla Vista,US,2022-06-15 12:34:09,34.4133,-119.861,68.92,75,0,0.0
256,Bonito,BR,2022-06-15 12:34:10,-21.1211,-56.4819,69.49,46,0,5.66
257,Knysna,ZA,2022-06-15 12:34:10,-34.0363,23.0471,53.98,73,42,13.27
258,Pinega,RU,2022-06-15 12:34:11,64.7001,43.3936,73.47,38,100,8.25
259,Kaohsiung,TW,2022-06-15 12:33:23,22.6163,120.3133,84.15,81,75,4.61
260,Fukue,JP,2022-06-15 12:34:12,32.6881,128.8419,71.6,87,100,10.45
261,Kungurtug,RU,2022-06-15 12:34:12,50.5994,97.5228,67.24,62,98,2.62
262,Pundaguitan,PH,2022-06-15 12:34:13,6.3711,126.1689,82.9,77,31,13.13
263,Lac Du Bonnet,CA,2022-06-15 12:34:14,50.2536,-96.0612,59.2,89,0,9.24
264,Baoying,CN,2022-06-15 12:34:14,33.2292,119.3092,80.4,42,73,13.27
265,Alugan,PH,2022-06-15 12:34:15,12.2188,125.4808,82.29,77,11,10.16
266,Pangnirtung,CA,2022-06-15 12:34:15,66.1451,-65.7125,39.2,87,100,0.0
267,Vryburg,ZA,2022-06-15 12:34:16,-26.9566,24.7284,55.0,33,6,11.48
268,Koungou,YT,2022-06-15 12:35:17,-12.7336,45.2042,82.11,74,0,5.75
269,Churapcha,RU,2022-06-15 12:35:18,62.0025,132.4325,52.61,91,98,2.08
270,Longyearbyen,SJ,2022-06-15 12:35:19,78.2186,15.6401,40.84,70,75,13.8
271,Emerald,AU,2022-06-15 12:35:19,-23.5333,148.1667,61.66,73,100,6.46
272,Hilo,US,2022-06-15 12:35:20,19.7297,-155.09,73.27,76,75,8.05
273,Turukhansk,RU,2022-06-15 12:35:21,65.8167,87.9833,75.76,46,100,8.37
274,Camana,PE,2022-06-15 12:35:21,-16.6228,-72.7111,61.81,84,60,8.34
275,Maldonado,UY,2022-06-15 12:35:22,-34.6667,-54.9167,53.22,78,100,4.21
276,Gazli,UZ,2022-06-15 12:35:22,40.1333,63.45,99.84,13,0,14.97
277,Awjilah,LY,2022-06-15 12:35:23,29.1081,21.2869,92.86,22,0,6.42
278,Wuda,CN,2022-06-15 12:35:23,39.4994,106.7117,88.14,10,0,8.88
279,Presidente Medici,BR,2022-06-15 12:35:24,-11.1753,-61.9014,76.62,69,8,1.3
280,Oksfjord,NO,2022-06-15 12:35:24,70.2396,22.3479,48.38,73,100,5.88
281,Codrington,AU,2022-06-15 12:35:25,-38.2667,141.9667,55.63,89,97,17.96
282,Northam,GB,2022-06-15 12:35:25,51.0333,-4.2167,62.62,74,96,7.27
283,Bondo,CD,2022-06-15 12:35:26,3.8146,23.6866,91.13,41,100,1.5
284,Nelson Bay,AU,2022-06-15 12:35:26,-32.7167,152.15,53.01,90,0,6.4
285,Krupina,SK,2022-06-15 12:35:27,48.3554,19.0647,77.45,42,44,7.02
286,Saint Anthony,US,2022-06-15 12:35:27,45.0205,-93.218,71.78,78,40,5.75
287,Vardo,NO,2022-06-15 12:35:28,70.3705,31.1107,46.38,81,75,10.36
288,Avarua,CK,2022-06-15 12:35:28,-21.2078,-159.775,77.05,78,75,8.05
289,Vanimo,PG,2022-06-15 12:35:29,-2.6741,141.3028,79.86,85,89,6.22
290,Norman Wells,CA,2022-06-15 12:35:29,65.282,-126.8329,44.64,93,75,9.22
291,Bonfim,BR,2022-06-15 12:35:30,3.0833,-59.95,79.9,77,14,4.0
292,Muli,MV,2022-06-15 12:35:30,2.9167,73.5667,84.2,71,35,11.41
